,pib,c,c_growth,pc,k,k_growth,pk,s,s_growth,ps,sp500_ret_real,TBill_ret_real
1981-01-01,69431.42876191746,12463.343346594138,0.00874559409372666,49.268,2259.3640095132273,0.028482620323394103,108.90100000000001,29993.069364837993,-0.00565990665976146,34.196,-0.06109858891423936,0.009155301062964805
1981-04-01,68987.65324375028,12517.816588620697,0.00437067651204881,49.757,2171.5140645138035,-0.038882599098474024,110.95299999999999,30199.18035135987,0.00687195378421368,34.893,-0.009301636553725401,0.02258170583977659
1981-07-01,69771.01833821923,12545.155436798343,0.0021839949470499054,50.148999999999994,2237.4638080181894,0.030370396665679422,112.594,30204.918952268774,0.00019002505505572032,35.658,-0.07995974510509785,0.025589514350208065
1981-10-01,69062.582886012,12593.39527328196,0.0038452960369161904,50.479,2076.4860599684375,-0.0719465260054134,114.06,30267.847823101223,0.002083398102537215,36.405,0.016511995594982176,0.019680623595798696
1982-01-01,67951.31365956916,12616.910517805734,0.0018672680411822018,50.714,2142.5938323233554,0.03183636703822734,115.01899999999999,30424.374848264142,0.005171395933986966,37.071,-0.1065094438474371,0.02469551869468134
1982-04-01,68241.75644124032,12595.314626018022,-0.0017116624356838805,50.711000000000006,2150.0940352330176,0.0035005248295376656,115.914,30592.811985337088,0.005536256304788267,37.646,-0.016476664036897404,0.027538369944702046
1982-07-01,68001.01001939237,12649.06064440767,0.004267143774132176,51.365,2167.2082387731243,0.007959746531854384,116.32799999999999,30828.520090622642,0.007704689107968399,38.400999999999996,0.048049319591854545,0.01209423203778437
1982-10-01,68044.41555844415,12778.534459275403,0.010235844266030636,51.394,2265.940942013457,0.04555755255721361,116.665,31304.878048780483,0.015451859406729662,39.114000000000004,0.17167233487588573,0.01794333449155472
1983-01-01,68911.45544004445,12819.320598622464,0.003191769719528059,51.251000000000005,2288.637156693362,0.0100162428151096,117.49700000000001,31722.314632793987,0.013334553910832492,39.678000000000004,0.08757940453510527,0.01961175810102178
1983-04-01,70480.28673835125,12969.938141945928,0.011749260981869014,51.893,2455.47509624027,0.07289837930795295,117.934,32154.876433693997,0.013635883948166727,40.019,0.06676419722161664,0.010370076475453738
1983-07-01,71888.59659378775,13167.259582281387,0.015213753386942086,52.284,2549.878140311522,0.03844593830977905,118.579,32629.489603024573,0.01476022370383756,40.733000000000004,0.003402941294424533,0.015116306745833308
1983-10-01,73395.72937217129,13328.01377726751,0.012208629592329379,52.26,2675.8131699590167,0.049388646326490315,119.31700000000001,32966.51601302425,0.010328890034750682,41.153999999999996,0.012137439538825845,0.01967325830019573
1984-01-01,74849.72803187008,13362.405190187066,0.0025803854568500206,52.869,2777.010666018718,0.0378193429929381,119.351,33113.49950819279,0.00445856926799526,41.683,-0.05741532216246936,0.014063808283284907
1984-04-01,76110.95081718266,13654.94688291558,0.02189289192811983,52.902,2841.706011174673,0.02329675789423824,120.09299999999999,33374.288077513884,0.007875596756439673,42.315,-0.033622267086721225,0.021184874545513432
1984-07-01,76833.71898338884,13665.660775918976,0.0007846162343407848,53.021,2842.7836550847246,0.00037922427788572577,120.331,33793.81058040407,0.01257023076914221,42.815,0.07361917810168972,0.022628729530878466
1984-10-01,77502.44731729188,13770.45514338332,0.007668444957232401,53.214,2935.164908089455,0.032496758182597896,120.552,34164.968270878686,0.010983007956191893,43.178000000000004,-0.015497151139704957,0.018273302366478505
1985-01-01,78226.34810267031,13854.343566296538,0.006091913596155019,53.585,3037.213409702392,0.03476755303652146,121.166,34784.559611482255,0.01813528218996452,43.858999999999995,0.11822092415104035,0.013387529700346068
1985-04-01,78955.93425987205,13961.977186311788,0.007768944049943327,53.915,3073.3653363195467,0.011902991900953452,121.447,35104.336838304975,0.009193079642070945,44.318000000000005,0.028202198915956878,0.013212177485054877
1985-07-01,80113.46494512117,14077.059770838347,0.008242570732702958,54.023,3269.941686393217,0.06396126999632168,121.241,35577.42682763844,0.013476682140801444,44.894,-0.008207167456601105,0.016541422829245978
1985-10-01,80740.05305039788,14202.846648301193,0.008935593050718005,54.45,3157.0235695775573,-0.034532150003020234,121.555,35862.3029820722,0.008007216368229653,45.236999999999995,0.06029707632198522,0.011248523972854363
1986-01-01,81497.9118832824,14383.712344949792,0.012734468034985902,54.176,3221.0853580299713,0.020291830909892727,121.58200000000001,36011.22102143978,0.004152495154648106,45.896,0.12821072856329363,0.02016389964663179
1986-04-01,81887.68984092097,14512.262920031011,0.008937232057922406,52.883,3334.5695993188256,0.03523167773432179,122.14200000000001,36229.753673292995,0.006068459931506176,46.28,0.10274844215686274,0.02967861692485063
1986-07-01,82617.65075038999,14542.474537910222,0.0020817992373547423,53.02,3618.867832610708,0.0852578495737375,123.162,36533.50521001181,0.00838403538312571,46.545,0.009527674398978725,0.008876097696551843
1986-10-01,83020.69444939574,14660.625564588978,0.008124547605069088,53.136,3561.5452930728243,-0.01583990965940585,123.86,36934.43042291951,0.01097417865061101,46.912,-0.0013228156848729133,0.00962143818359773
